date,compound_score,positive_score,neutral_score,negative_score
2020-05-30,-0.01202,0.1702,0.672,0.1576
2020-05-31,-0.11344,0.0566,0.8572,0.0862
2020-06-01,0.16294,0.0742,0.9084,0.0176
2020-06-02,0.01168,0.0886,0.8278,0.0836
2020-06-03,0.28136,0.1926,0.7332,0.0742
2020-06-04,0.3016,0.207,0.793,0
2020-06-05,-0.305,0,0.852,0.148
2020-06-06,0.11148,0.053,0.947,0
2020-06-07,0.11718,0.098,0.902,0
2020-06-08,0.07436,0.235,0.674,0.091
2020-06-09,0.16262,0.1712,0.7916,0.0372
2020-06-10,0.07462,0.0706,0.907,0.0224
2020-06-11,0.15232,0.1482,0.7816,0.0702
2020-06-12,-0.02438,0.166,0.6698,0.164
2020-06-13,-0.0343,0.0636,0.8274,0.109
2020-06-14,0.32172,0.2278,0.7118,0.0604
2020-06-15,0.0702,0.1526,0.8094,0.038
2020-06-16,-0.16848,0,0.8846,0.1154
2020-06-17,0.0086,0.0834,0.8454,0.0714
2020-06-18,-0.18006,0.071,0.7612,0.1678
2020-06-19,-0.14572,0.0914,0.7634,0.1452
2020-06-20,0.30898,0.2362,0.6924,0.0714
2020-06-21,0.0969,0.0626,0.9374,0
2020-06-22,0.19212,0.1362,0.8128,0.051
2020-06-23,0.24782,0.1622,0.8378,0
2020-06-24,0.25444,0.1202,0.8798,0
2020-06-25,-0.1318,0.0578,0.8562,0.086
2020-06-26,0.36562,0.2024,0.7294,0.0682
2020-06-27,0.03724,0.0634,0.855,0.0816
2020-06-28,0.04526,0.099,0.8214,0.0798
2020-06-29,0.08038,0.0556,0.9444,0
2020-06-30,-0.03716,0.1062,0.7772,0.1166
2020-07-01,0.08376,0.0632,0.9092,0.0276
2020-07-02,-0.17584,0.0448,0.7812,0.174
2020-07-03,0.1971,0.0992,0.9008,0
2020-07-04,0.3241,0.1344,0.8656,0
2020-07-05,0,0,1,0
2020-07-06,0.2184,0.127,0.828,0.045
2020-07-07,-0.05464,0,0.9482,0.0518
2020-07-08,0.12084,0.0534,0.9466,0
2020-07-09,-0.06602,0.046,0.8496,0.1046
2020-07-10,-0.05776,0.0696,0.8446,0.0858
2020-07-11,0.11438,0.0632,0.9368,0
2020-07-12,0,0,1,0
2020-07-13,0.15132,0.1818,0.7546,0.0636
2020-07-14,0.32518,0.1912,0.7338,0.075
2020-07-15,0.26766,0.2072,0.7342,0.0588
2020-07-16,0.28448,0.158,0.8256,0.0164
2020-07-17,0.12318,0.156,0.7574,0.0866
2020-07-18,-0.0843,0,0.9718,0.0282
2020-07-19,0.10842,0.0896,0.8656,0.0448
2020-07-20,-0.04,0.1044,0.771,0.1246
2020-07-21,0.0359,0.0314,0.9066,0.062
2020-07-22,0,0,1,0
2020-07-23,0.11616,0.1354,0.7692,0.0954
2020-07-24,0,0.0646,0.8762,0.0592
2020-07-25,0.01628,0.0888,0.8352,0.076
2020-07-26,-0.09228,0.0376,0.9064,0.0562
2020-07-27,0.25226,0.0892,0.8984,0.0126
2020-07-28,0.26324,0.1924,0.791,0.0166
2020-07-29,0.05296,0.0664,0.8988,0.0348
2020-07-30,-0.42978,0.015,0.842,0.143
2020-07-31,0.03196,0.0526,0.8816,0.0658
2020-08-01,0.1358,0.1198,0.8396,0.0408
2020-08-02,-0.0422,0.0526,0.8792,0.0682
2020-08-03,0.2796,0.2002,0.7684,0.0316
2020-08-04,0.2676,0.1466,0.8534,0
2020-08-05,0.14538,0.0606,0.9394,0
2020-08-06,0.07636,0.049,0.951,0
2020-08-07,-0.15574,0.0322,0.849,0.1188
2020-08-08,0.20602,0.108,0.892,0
2020-08-09,0.09666,0.0848,0.8804,0.0348
